date,time,object,zone,point,surface,lux,height_cm,mode,light_sources,dimmer,note
2026-09-09,11:04,Rozybakieva,Z0,ambient,-,,,,"музыка не играет; гостей нет; T=26.7C; RH=35.3%",,"стартовые условия"
2026-09-09,11:0x,Rozybakieva,Z3,reception_standing,воздух (не поверхность),200,~104,MAX,"искусственный (дневной режим) + дневной свет через открытые двери","нет — один сценарий весь день","на уровне живота стоя; рост замерщика 174 см; высота оценочная"
2026-09-09,11:0x,Rozybakieva,Z3,reception_standing,воздух (не поверхность),195,~104,MIN,"искусственный (дневной режим) + дневной свет через открытые двери","нет — один сценарий весь день","MIN того же замера; диапазон 195-200"
2026-09-09,11:2x,Rozybakieva,Z6,wc_men_sink,раковина,328,?,MAX,"искусственный (дневной режим); дневного света нет","нет — один сценарий весь день","T=26.9C; RH=34.8%; фон - нерж. раковина"
2026-09-09,11:2x,Rozybakieva,Z6,wc_men_sink,раковина,227,?,MIN,"искусственный (дневной режим); дневного света нет","нет — один сценарий весь день","MIN того же замера; разброс 227-328 требует объяснения"
2026-09-09,11:1x,Rozybakieva,Z3,entrance_floor,пол,124,0,MAX,"искусственный (дневной режим) + дневной свет через открытые двери","нет — один сценарий весь день","тот же пятачок, что и замер на ~104 см"
2026-09-09,11:1x,Rozybakieva,Z3,entrance_floor,пол,119,0,MIN,"искусственный (дневной режим) + дневной свет через открытые двери","нет — один сценарий весь день","пара к 195-200; соотношение ~1.6:1"
2026-09-09,11:3x,Rozybakieva,Z6,wc_women_sink,раковина,162,?,MAX,"искусственный (дневной режим); дневного света нет","нет — один сценарий весь день","T=26.8C; RH=36.7%; шум 51.8 dBA SLOW"
2026-09-09,11:3x,Rozybakieva,Z6,wc_women_sink,раковина,136,?,MIN,"искусственный (дневной режим); дневного света нет","нет — один сценарий весь день","T=26.8C; RH=36.9%; шум 52.5 dBA SLOW; музыки нет"
2026-09-09,11:4x,Rozybakieva,Z6,corridor_mirror,?,240,?,MAX,"искусственный (дневной режим); дневного света нет","нет — один сценарий весь день","T=27.9C; RH=35.7%; шум 52.0 dBA SLOW AVG"
2026-09-09,11:4x,Rozybakieva,Z6,corridor_mirror,?,216,?,MIN,"искусственный (дневной режим); дневного света нет","нет — один сценарий весь день","T=27.9C; RH=35.7%; шум 50.9 dBA SLOW AVG; ориентация прибора не зафиксирована"
2026-09-09,11:5x,Rozybakieva,Z6,corridor_floor,пол,170,0,MAX,"искусственный (дневной режим); дневного света нет","нет — один сценарий весь день","T=27.9C; RH=36.1%; шум 50.9 dBA SLOW AVG"
2026-09-09,11:5x,Rozybakieva,Z6,corridor_floor,пол,164,0,MIN,"искусственный (дневной режим); дневного света нет","нет — один сценарий весь день","T=28.0C; RH=35.8%; шум 52.1 dBA SLOW AVG; пара к 216-240"
2026-09-09,12:0x,Rozybakieva,Z4,hall_entry,пол (предположительно),82,0,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=25.8C; RH=34.5%; шум 53.2 dBA SLOW (не AVG)"
2026-09-09,12:0x,Rozybakieva,Z4,hall_entry,пол (предположительно),77,0,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=25.8C; RH=34.2%; шум 52.8 dBA SLOW (не AVG); приборы лежат на бетоне"
2026-09-09,12:1x,Rozybakieva,Z4,table_right_of_entry,столешница,188,~75,MAX,"искусственный (дневной режим); близко к входу, вклад дневного света вероятен","нет — один сценарий весь день","T=26.0C; RH=33.1%; шум 53.9 dBA SLOW"
2026-09-09,12:1x,Rozybakieva,Z4,table_right_of_entry,столешница,174,~75,MIN,"искусственный (дневной режим); близко к входу, вклад дневного света вероятен","нет — один сценарий весь день","T=26.0C; RH=33.5%; шум 53.4 dBA SLOW; пол рядом НЕ измерен"
