date,time,object,zone,point,surface,lux,height_cm,groups_on,daylight,doors,note
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 1 у окна,пол (предположительно),45,0,"один сценарий, включён",да,?,"MAX; отнесено к столу 1 по контексту - ПОДТВЕРДИТЬ"
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 1 у окна,пол (предположительно),41,0,"один сценарий, включён",да,?,"MIN; диапазон 41-45"
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 1 у окна,столешница,382,~75,"один сценарий, включён",да,?,"MAX; свет ВКЛЮЧЁН, дневной вклад через окно"
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 1 у окна,столешница,322,~75,"один сценарий, включён",да,?,"MIN; диапазон 322-382; соотношение стол/пол ~8:1"
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 2,столешница,607,~75,"один сценарий, включён",да — прямое солнце,?,"на фото видно солнечное пятно на столешнице"
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 2,столешница,292,~75,"один сценарий, включён",да — прямое солнце,?,"тот же стол; разброс 292-607 из-за движущегося солнечного пятна"
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 3 у окна,столешница,421,~75,"один сценарий, включён",да — рассеянный,?,"MAX; разброс 5%, прямого солнца нет"
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 3 у окна,столешница,400,~75,"один сценарий, включён",да — рассеянный,?,"MIN; диапазон 400-421"
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 4 у окна,столешница,314,~75,"один сценарий, включён",да,?,"MAX"
2026-09-14,?,4mkr-2этаж,Z4,левая зона стол 4 у окна,столешница,256,~75,"один сценарий, включён",да,?,"MIN; диапазон 256-314, разброс 23%"
